"id","name","code","account_type","reconcile","tax_ids","name@es"
"account_account_template_0_112011","0-Trade accounts receivable (PoS)","0.112011","asset_receivable","True","","0-Cuentas por cobrar comerciales (PoS)"
"account_account_template_0_112001","0-Trade accounts receivable","0.112001","asset_receivable","True","","0-Cuentas por cobrar comerciales"
"account_account_template_0_211001","0-Accounts payable to suppliers","0.211001","liability_payable","True","","0-Cuentas por pagar a proveedores"
"account_account_template_0_212101","0-Sales tax payable","0.212101","liability_current","True","","0-Impuesto de ventas por pagar"
"account_account_template_0_210304","0-Impuesto sobre la renta","0.210304","liability_current","True","","0-Impuesto sobre la renta"

"account_account_template_0_450001","0-Exchange differential","0.450001","income","False","","0-Diferencial cambiario"
"account_account_template_0_410001","0-Category 1","0.410001","income_other","False","account_tax_template_IV_0","0-Categoría 1"

"account_account_template_0_511111","0-Salaries","0.511111","expense","False","","0-Salarios"
"account_account_template_0_511112","0-Extras","0.511112","expense","False","","0-Extras"
"account_account_template_0_511121","0-Transportation","0.511121","expense","False","","0-Transporte"
"account_account_template_0_511122","0-Feeding","0.511122","expense","False","","0-Alimentación"
"account_account_template_0_511123","0-Hosting","0.511123","expense","False","","0-Hospedaje"

"account_account_template_0_511301","0-Product cost","0.511301","expense","False","","0-Costo de producto"

"account_account_template_0_530004","0-Exchange differential","0.530004","expense","False","","0-Diferencial cambiario"
