"id","country_id:id","name","code","dte_code"
state_sv_00,base.sv,"Otro Pais","OP","00"
state_sv_01,base.sv,"Ahuachapan","AH","01"
state_sv_02,base.sv,"Santa Ana","SA","02"
state_sv_03,base.sv,"Sonsonate","SO","03"
state_sv_04,base.sv,"Chalatenango","CH","04"
state_sv_05,base.sv,"La Libertad","LL","05"
state_sv_06,base.sv,"San Salvador","SS","06"
state_sv_07,base.sv,"Cuscatlan","CU","07"
state_sv_08,base.sv,"La Paz","LP","08"
state_sv_09,base.sv,"Cabañas","CA","09"
state_sv_10,base.sv,"San Vicente","SV","10"
state_sv_11,base.sv,"Usulutan","US","11"
state_sv_12,base.sv,"San Miguel","SM","12"
state_sv_13,base.sv,"Morazan","MO","13"
state_sv_14,base.sv,"La Union","LU","14"
